code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,fbref,understat,transfermarkt,dob,display_name
1243,Robert,Green,Green,,547,,,,,,,,a350680b,4390,11680,317001600000,Robert Green
1616,Alexander,Manninger,Manninger,524,,,,,,,,,eb55b1bc,277,5278,234230400000,Alexander Manninger
1632,Gareth,Barry,Barry,137,151,,,,,,,,7dbbe367,590,3291,351734400000,Gareth Barry
1718,John,Terry,Terry,75,,,,,,,,,68517cfd,917,3160,344995200000,John Terry
1801,Paul,Robinson,Robinson,472,75,,,,,,,,3515ba56,1667,3630,308793600000,Paul Robinson
1822,Shay,Given,Given,315,,,,,,,,,0db918ff,889,3146,198806400000,Shay Given
2404,Michael,Carrick,Carrick,259,276,,,,,,,,ab7263c1,654,3878,365126400000,Michael Carrick
2513,Jamie,Murphy,Murphy,,69,,,,,,,,6c96b263,6052,51730,620265600000,Jamie Murphy
3201,Stuart,Taylor,Taylor,597,506,,,,,,,,30871c08,5580,3190,344217600000,Stuart Taylor
3736,John,O'Shea,O'Shea,342,,,,,,,,,7c1f4685,729,3540,357436800000,John O'Shea
3773,Peter,Crouch,Crouch,336,347,590,,,,,,,73d9bdc7,872,4072,349660800000,Peter Crouch
5288,Gerhard,Tremmel,Tremmel,682,,,,,,,,,4370cecc,1062,488,280022400000,Gerhard Tremmel
5589,Dean,Whitehead,Whitehead,,178,,,,,,,,a32204c9,6328,13683,379641600000,Dean Whitehead
6744,Lee,Grant,Grant,574,329,520,237,604,,,,,9dab6e3b,1742,13460,412473600000,Lee Grant
7525,Steven,Pienaar,Pienaar,533,,,,,,,,,8056f6e6,924,4321,385171200000,Steven Pienaar
7551,Joleon,Lescott,Lescott,635,,,,,,,,,62393d3b,664,4241,398304000000,Joleon Lescott
7638,Mark,Hudson,Hudson,,170,,,,,,,,e4e3de44,,3640,386294400000,Mark Hudson
7645,Phil,Jagielka,Jagielka,127,140,158,444,529,,,,,3233eefd,587,13520,398390400000,Phil Jagielka
7906,Damien,Delaney,Delaney,107,121,,,,,,,,210d9ecb,511,36861,364435200000,Damien Delaney
7958,Jermain,Defoe,Defoe,355,52,46,,,,,,,f1e8372d,735,3875,402796800000,Jermain Defoe
8380,James,Collins,Collins,452,441,,,,,,,,c61f1719,655,12691,430444800000,James Collins
8432,José,Reina,Reina,,,,603,,,,,,e358587b,1374,7825,399600000000,Pepe Reina
9047,Glen,Johnson,Johnson,325,335,,,,,,,,8cceca90,944,3881,462067200000,Glen Johnson
9089,Ben,Foster,Foster,430,421,445,366,,376,,,,d0b3ceb9,803,13572,418176000000,Ben Foster
9110,Shaun,Maloney,Maloney,162,,,,,,,,,0558e236,1692,9508,412214400000,Shaun Maloney
9808,Zlatan,Ibrahimovic,Ibrahimovic,272,523,,,,,,,,4cde5509,1741,3455,370915200000,Zlatan Ibrahimovic
10318,Maarten,Stekelenburg,Stekelenburg,124,137,155,149,,,,,,fefce889,846,4311,401500800000,Maarten Stekelenburg
10460,Grant,Leadbitter,Leadbitter,284,,,,,,,,,516f7fc1,5542,13796,505440000000,Grant Leadbitter
10589,Brian,Murphy,Brian Murphy,,,537,,,,,,,47e0ce24,4459,4190,421113600000,Brian Murphy
11037,Rickie,Lambert,Lambert,447,,,,,,,,,495de82c,816,49655,382665600000,Rickie Lambert
11334,Petr,Cech,Cech,2,2,1,,,,,,,71672fa0,491,5658,390700800000,Petr Cech
11352,Bruno,Saltor Grau,Bruno,,58,50,,,,,,,78803d03,6046,51528,339206400000,Bruno
11467,Billy,Jones,Jones,343,,,,,,,,,aa3cb1ad,742,36866,,
11554,Julian,Speroni,Speroni,99,116,136,,,,,,,8e65a5e5,523,12814,295833600000,Julian Speroni
11735,Steve,Sidwell,Sidwell,,65,,,,,,,,ed083afd,1007,13427,408672000000,Steve Sidwell
11829,Wayne,Routledge,Routledge,369,360,,,,,,,,1d387eee,719,14066,473904000000,Wayne Routledge
11854,Daryl,Murphy,Murphy,,304,,,,,,,,ac99973f,,31312,416534400000,Daryl Murphy
11948,Andy,Lonergan,Lonergan,,,,530,639,571,760,579,,165cf989,7821,14044,435369600000,Andy Lonergan
11974,Eldin,Jakupovic,Jakupović,147,473,214,169,,573,627,,,1148323a,1697,2857,465523200000,Eldin Jakupovic
12002,Stewart,Downing,Downing,282,,,,,,,,,b13c4620,1712,4063,459302400000,Stewart Downing
12086,Boaz,Myhill,Myhill,429,420,,,,,,,,7ca2d989,820,3838,405648000000,Boaz Myhill
12150,Glenn,Whelan,Whelan,329,339,,,,,,,,d5bd56a5,862,12124,442800000000,Glenn Whelan
