season,rank,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
2016/17,1,Chelsea,38,30,3,5,85,33,93,61.8,58.61,28.62,27.1,31.51,11.08,11.14,435,150,75.74
2016/17,2,Spurs,38,26,8,4,86,26,86,70.07,63.22,33.78,32.26,30.96,7.4,11.36,300,182,75.37
2016/17,3,Man City,38,23,9,6,80,39,78,79.85,73.0,29.61,25.66,47.34,6.43,14.25,441,131,85.41
2016/17,4,Liverpool,38,22,10,6,78,42,76,66.63,60.54,37.65,33.85,26.7,7.23,14.59,446,134,69.83
2016/17,5,Arsenal,38,23,6,9,77,44,75,63.58,59.01,47.07,39.46,19.55,8.26,12.54,478,199,62.12
2016/17,6,Man Utd,38,18,15,5,54,29,69,57.57,54.53,31.62,27.82,26.71,8.57,12.03,334,177,70.89
2016/17,7,Everton,38,17,10,11,62,44,61,49.63,46.59,45.78,41.98,4.61,9.85,10.41,197,261,55.78
2016/17,8,Southampton,38,12,10,16,41,48,46,49.98,45.42,43.08,36.23,9.18,8.6,11.84,249,256,55.69
2016/17,9,Bournemouth,38,12,10,16,55,67,46,50.02,42.4,62.99,59.19,-16.78,10.68,9.09,244,321,43.17
2016/17,10,West Brom,38,12,9,17,43,51,45,38.21,37.45,47.9,45.62,-8.16,14.71,6.87,133,275,45.59
2016/17,11,West Ham,38,12,9,17,47,64,45,48.25,44.99,59.67,53.58,-8.6,11.03,9.81,166,297,46.04
2016/17,12,Leicester,38,12,8,18,48,63,44,44.34,39.66,51.3,48.26,-8.6,11.48,8.47,196,279,48.12
2016/17,13,Stoke,38,11,11,16,41,56,44,47.87,43.31,48.67,47.15,-3.84,11.49,7.8,217,253,52.29
2016/17,14,Crystal Palace,38,12,5,21,50,63,41,45.4,40.07,50.03,48.51,-8.43,9.07,7.57,204,297,48.45
2016/17,15,Swansea,38,12,5,21,45,70,41,39.5,37.22,65.13,58.92,-21.71,12.52,10.63,161,308,36.49
2016/17,16,Burnley,38,11,7,20,39,55,40,35.59,31.02,55.27,51.25,-20.22,12.13,9.3,174,290,38.36
2016/17,17,Watford,38,11,7,20,40,68,40,36.25,33.97,52.62,49.57,-15.6,10.25,8.71,171,240,40.62
