season,name,pos,team,age,points,minutes,goals,assists,yellow_cards,red_cards,own_goals
2016/17,David Ospina,GK,Arsenal,36,2,143,0,0,0,0,0
2016/17,Petr Cech,GK,Arsenal,43,134,3097,0,0,2,0,1
2016/17,Laurent Koscielny,DEF,Arsenal,39,121,2821,2,1,4,1,0
2016/17,Per Mertesacker,DEF,Arsenal,40,1,38,0,0,0,0,0
2016/17,Gabriel Paulista,DEF,Arsenal,34,45,1517,0,0,6,0,0
2016/17,Héctor Bellerín,DEF,Arsenal,30,119,2503,1,5,4,0,0
2016/17,Kieran Gibbs,DEF,Arsenal,35,45,702,0,1,3,0,0
2016/17,Mathieu Debuchy,DEF,Arsenal,39,1,15,0,0,0,0,0
2016/17,Carl Jenkinson,DEF,Arsenal,33,2,82,0,0,0,0,0
2016/17,Nacho Monreal,DEF,Arsenal,39,115,3153,0,3,5,0,0
2016/17,Calum Chambers,DEF,Middlesbrough,30,83,2250,2,1,4,0,0
2016/17,Alexis Sánchez,MID,Arsenal,36,264,3217,24,11,6,0,0
2016/17,Theo Walcott,MID,Arsenal,36,122,1916,10,3,1,0,0
2016/17,Mesut Özil,MID,Arsenal,36,167,2841,8,11,2,0,0
2016/17,Santi Cazorla,MID,Arsenal,40,38,618,2,2,2,0,0
2016/17,Aaron Ramsey,MID,Arsenal,34,56,1236,1,4,3,0,0
2016/17,Jack Wilshere,MID,Bournemouth,33,61,1950,0,3,4,0,0
2016/17,Alex Oxlade-Chamberlain,MID,Arsenal,31,83,1564,2,7,1,0,0
2016/17,Serge Gnabry,MID,Arsenal,29,0,0,0,0,0,0,0
2016/17,Francis Coquelin,MID,Arsenal,34,52,1779,0,1,5,0,0
2016/17,Alex Iwobi,MID,Arsenal,29,89,1456,3,5,1,0,0
2016/17,Mohamed Elneny,MID,Arsenal,33,26,694,0,1,1,0,0
2016/17,Joel Campbell,MID,Arsenal,33,0,0,0,0,0,0,0
2016/17,Granit Xhaka,MID,Arsenal,32,85,2483,2,3,5,2,0
2016/17,Olivier Giroud,FWD,Arsenal,38,116,1206,12,5,2,0,0
2016/17,Danny Welbeck,FWD,Arsenal,34,37,748,2,2,0,0,0
2016/17,Yaya Sanogo,FWD,Arsenal,32,0,0,0,0,0,0,0
2016/17,Artur Boruc,GK,Bournemouth,45,120,3150,0,0,2,0,0
2016/17,Adam Federici,GK,Bournemouth,40,8,180,0,0,1,0,0
2016/17,Simon Francis,DEF,Bournemouth,40,89,2938,0,1,4,1,0
2016/17,Steve Cook,DEF,Bournemouth,34,112,3420,2,0,5,0,1
